pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,_has_star_rad,_has_rv_row
HD 13189 b,HD 13189,1,1,1,Radial Velocity,2005,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,471.60001,6.0,-6.0,0.0,1.25,0.08,-0.08,0.0,,,,,,,,,3480.2385,928.0636,-928.0636,0.0,10.95,2.92,-2.92,0.0,Msini,0.27,0.06,-0.06,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4175.0,33.0,-33.0,0.0,38.41,4.84,-4.84,0.0,2.24,0.88,-0.88,0.0,-0.37,,,0.0,[Fe/H],1.62,0.13,-0.13,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h09m40.18s,32.4173964,+32d18m59.24s,32.3164548,497.823,15.517,-15.517,7.57,0.03,-0.03,3.997,0.026,-0.026,7.01743,0.000492,-0.000492,2018-09-04,2017-03,2018-09-06,True,True
HD 132406 b,HD 132406,0,1,1,Radial Velocity,2007,Haute-Provence Observatory,Published Confirmed,0,<a refstr=DA_SILVA_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...473..323D/abstract target=ref> da Silva et al. 2007 </a>,974.0,39.0,-39.0,0.0,1.98,,,0.0,,,,,,,,,1782.951,,,0.0,5.61,,,0.0,Msini,0.34,0.09,-0.09,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5759.29,105.97,-178.53,0.0,1.35486,0.084273,-0.06634,0.0,1.03,0.161894,-0.09314,0.0,0.1293,0.0151,-0.0151,0.0,[M/H],4.18712,0.092344,-0.070008,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h56m54.63s,224.2276121,+53d22m51.46s,53.3809615,70.7832,0.1387,-0.1381,8.45,0.03,-0.03,6.87,0.017,-0.017,8.28075,0.000227,-0.000227,2018-04-25,2007-10,2014-05-14,True,True
HD 132563 b,HD 132563,1,3,1,Radial Velocity,2011,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=DESIDERA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A..90D/abstract target=ref> Desidera et al. 2011 </a>,1544.0,34.0,-34.0,0.0,2.62,0.04,-0.04,0.0,,,,,,,,,473.547,28.6035,-28.6035,0.0,1.49,0.09,-0.09,0.0,Msini,0.22,0.09,-0.09,0.0,,,,,,,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6289.0,128.13,-128.13,0.0,1.29577,0.070685,-0.043737,0.0,1.231,0.21701,-0.152453,0.0,,,,,,4.30327,0.075855,-0.089904,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h58m21.43s,224.5892892,+44d02m34.29s,44.0428571,105.155,0.282,-0.282,8.928001,0.002,-0.002,7.431,0.021,-0.021,8.85821,0.000252,-0.000252,2019-01-28,2011-09,2019-01-31,True,True
HD 134606 b,HD 134606,1,1,5,Radial Velocity,2024,Multiple Observatories,Published Confirmed,0,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>,12.089,0.0016,-0.0015,0.0,0.1046,0.0023,-0.0024,0.0,,,,,,,,,9.09,0.64,-0.63,0.0,0.02860034,0.00201367,-0.0019822,0.0,Msini,0.092,0.054,-0.053,0.0,,,,,,,,,0.0,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>,,5576.0,86.0,-85.0,0.0,1.158,0.039,-0.036,0.0,1.046,0.07,-0.059,0.0,0.343,0.081,-0.084,0.0,[Fe/H],4.33,0.044,-0.041,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h15m14.49s,228.8103897,-70d31m13.20s,-70.5203328,26.7909,0.0204,-0.0205,6.86,0.03,-0.03,5.177,0.026,-0.026,6.67835,0.000207,-0.000207,2024-02-16,2024-01,2024-02-16,True,True
HD 134606 c,HD 134606,1,1,5,Radial Velocity,2024,Multiple Observatories,Published Confirmed,0,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>,58.883,0.041,-0.039,0.0,0.3007,0.0066,-0.0069,0.0,,,,,,,,,11.31,1.0,-0.99,0.0,0.03558524,0.00314635,-0.00311489,0.0,Msini,0.055,0.062,-0.04,0.0,,,,,,,,,0.0,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>,,5576.0,86.0,-85.0,0.0,1.158,0.039,-0.036,0.0,1.046,0.07,-0.059,0.0,0.343,0.081,-0.084,0.0,[Fe/H],4.33,0.044,-0.041,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h15m14.49s,228.8103897,-70d31m13.20s,-70.5203328,26.7909,0.0204,-0.0205,6.86,0.03,-0.03,5.177,0.026,-0.026,6.67835,0.000207,-0.000207,2024-02-16,2024-01,2024-02-16,True,True
HD 134606 d,HD 134606,1,1,5,Radial Velocity,2024,Multiple Observatories,Published Confirmed,0,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>,966.5,5.3,-6.9,0.0,1.941,0.043,-0.046,0.0,,,,,,,,,44.8,2.9,-2.9,0.0,0.14095656,0.00912442,-0.00912442,0.0,Msini,0.092,0.045,-0.045,0.0,,,,,,,,,0.0,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>,,5576.0,86.0,-85.0,0.0,1.158,0.039,-0.036,0.0,1.046,0.07,-0.059,0.0,0.343,0.081,-0.084,0.0,[Fe/H],4.33,0.044,-0.041,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h15m14.49s,228.8103897,-70d31m13.20s,-70.5203328,26.7909,0.0204,-0.0205,6.86,0.03,-0.03,5.177,0.026,-0.026,6.67835,0.000207,-0.000207,2024-02-16,2024-01,2024-02-16,True,True
HD 134606 e,HD 134606,1,1,5,Radial Velocity,2024,Multiple Observatories,Published Confirmed,0,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>,4.3203,0.00051,-0.00047,0.0,0.0527,0.0011,-0.0012,0.0,,,,,,,,,2.34,0.35,-0.34,0.0,0.00736246,0.00110122,-0.00106976,0.0,Msini,0.2,0.14,-0.13,0.0,,,,,,,,,0.0,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>,,5576.0,86.0,-85.0,0.0,1.158,0.039,-0.036,0.0,1.046,0.07,-0.059,0.0,0.343,0.081,-0.084,0.0,[Fe/H],4.33,0.044,-0.041,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h15m14.49s,228.8103897,-70d31m13.20s,-70.5203328,26.7909,0.0204,-0.0205,6.86,0.03,-0.03,5.177,0.026,-0.026,6.67835,0.000207,-0.000207,2024-02-21,2024-01,2024-02-21,True,True
HD 134606 f,HD 134606,1,1,5,Radial Velocity,2024,Multiple Observatories,Published Confirmed,0,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>,26.915,0.016,-0.016,0.0,0.1784,0.0039,-0.0041,0.0,,,,,,,,,5.63,0.72,-0.69,0.0,0.01771396,0.00226537,-0.00217098,0.0,Msini,0.081,0.1,-0.059,0.0,,,,,,,,,0.0,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>,,5576.0,86.0,-85.0,0.0,1.158,0.039,-0.036,0.0,1.046,0.07,-0.059,0.0,0.343,0.081,-0.084,0.0,[Fe/H],4.33,0.044,-0.041,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h15m14.49s,228.8103897,-70d31m13.20s,-70.5203328,26.7909,0.0204,-0.0205,6.86,0.03,-0.03,5.177,0.026,-0.026,6.67835,0.000207,-0.000207,2024-02-16,2024-01,2024-02-16,True,True
HD 134987 b,HD 134987,0,1,2,Radial Velocity,1999,W. M. Keck Observatory,Published Confirmed,0,<a refstr=JONES_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403.1703J/abstract target=ref> Jones et al. 2010 </a>,258.19,0.07,-0.07,0.0,0.81,0.02,-0.02,0.0,,,,,,,,,505.0,6.0,-6.0,0.0,1.59,0.02,-0.02,0.0,Msini,0.233,0.002,-0.002,0.0,,,,,,,,,0.0,<a refstr=JONES_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403.1703J/abstract target=ref> Jones et al. 2010 </a>,G5 V,5585.0,50.0,-50.0,0.0,1.25,0.04,-0.04,0.0,1.1,0.07,-0.04,0.0,0.28,,,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h13m28.21s,228.3675397,-25d18m34.82s,-25.3096721,26.1804,0.0516,-0.0515,6.47,0.03,-0.03,4.882,0.016,-0.016,6.28994,0.0004336,-0.0004336,2019-01-28,2010-04,2019-01-31,True,True
HD 134987 c,HD 134987,0,1,2,Radial Velocity,2009,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,5960.0,170.0,-150.0,0.0,6.62,0.16,-0.15,0.0,,,,,,,,,297.16956055,20.02318964,-19.06970442,0.0,0.935,0.063,-0.06,0.0,Msini,0.154,0.049,-0.05,0.0,,,,,,,,,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5700.78,87.5,-87.5,0.0,1.292303,0.030885,-0.030885,0.0,1.092644,0.047484,-0.047484,0.0,0.2822,0.0606,-0.0606,0.0,[Fe/H],4.252364,0.029084,-0.029084,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h13m28.21s,228.3675397,-25d18m34.82s,-25.3096721,26.1804,0.0516,-0.0515,6.47,0.03,-0.03,4.882,0.016,-0.016,6.28994,0.0004336,-0.0004336,2021-09-20,2021-07,2021-09-20,True,True
HD 136352 b,HD 136352,0,1,3,Radial Velocity,2019,La Silla Observatory,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,11.57783620835,1.83652e-05,-1.83652e-05,0.0,,,,,1.54221286,0.71613497,-0.71613497,0.0,0.13758725,0.06388939,-0.06388939,0.0,,,,,,,,,,,,,,99.9013,,,0.0,806.33,,,0.0,0.0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,5739.0,25.0,-25.0,0.0,1.02607,0.045106,-0.045106,0.0,,,,,,,,,,4.51,0.028,-0.028,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.682,0.0199,-0.0198,5.65,0.03,-0.03,4.159,0.036,-0.036,5.48495,0.0015675,-0.0015675,2024-02-05,2017-07,2024-02-05,True,True
HD 136352 c,HD 136352,1,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,27.59221,0.00011,-0.00011,0.0,0.1721,0.005,-0.005,0.0,2.916,0.075,-0.073,0.0,0.26014854,0.00669106,-0.00651263,0.0,11.24,0.65,-0.63,0.0,0.03536499,0.00204513,-0.0019822,0.0,Mass,0.0,,,0.0,35.1,2.3,-2.1,0.0,677.0,11.0,-11.0,0.0,0.0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,,5664.0,61.0,-61.0,0.0,1.058,0.019,-0.019,0.0,0.87,0.04,-0.04,0.0,-0.24,0.05,-0.05,0.0,[M/H],4.39,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.682,0.0199,-0.0198,5.65,0.03,-0.03,4.159,0.036,-0.036,5.48495,0.0015675,-0.0015675,2021-08-09,2021-06,2021-08-09,True,True
HD 136352 d,HD 136352,0,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>,107.63,0.18,-0.19,0.0,0.4285,0.0085,-0.0076,0.0,,,,,,,,,10.5,1.1,-1.0,0.0,0.03303653,0.00346097,-0.00314634,0.0,Msini,0.075,0.085,-0.053,0.0,5.8,0.5,-0.5,0.0,433.3,8.6,-8.5,0.0,0.0,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>,,5850.0,100.0,-100.0,0.0,1.012,0.018,-0.018,0.0,0.906,0.055,-0.047,0.0,-0.25,0.12,-0.12,0.0,[Fe/H],4.385,0.029,-0.027,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.682,0.0199,-0.0198,5.65,0.03,-0.03,4.159,0.036,-0.036,5.48495,0.0015675,-0.0015675,2020-12-10,2020-09,2020-12-17,True,True
HD 136418 b,HD 136418,0,1,1,Radial Velocity,2009,W. M. Keck Observatory,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010PASP..122..701J/abstract target=ref> Johnson et al. 2010 </a>,464.3,3.2,-3.2,0.0,1.32,0.03,-0.03,0.0,,,,,,,,,635.633,31.7817,-31.7817,0.0,2.0,0.1,-0.1,0.0,Msini,0.255,0.041,-0.041,0.0,,,,,,,,,0.0,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010PASP..122..701J/abstract target=ref> Johnson et al. 2010 </a>,,5071.0,44.0,-44.0,0.0,3.4,0.1,-0.1,0.0,1.33,0.09,-0.09,0.0,-0.07,0.03,-0.03,0.0,[Fe/H],3.6,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h19m06.15s,229.7756438,+41d43m56.72s,41.732423,105.168,0.311,-0.31,7.849,0.0459,-0.0459,,,,7.60946,0.000209,-0.000209,2018-04-25,2010-05,2014-05-14,True,True
HD 136925 b,HD 136925,1,1,1,Radial Velocity,2021,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,4540.0,160.0,-140.0,0.0,5.13,0.12,-0.11,0.0,,,,,,,,,266.97586188,24.79061575,-23.51930212,0.0,0.84,0.078,-0.074,0.0,Msini,0.103,0.094,-0.07,0.0,,,,,,,,,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5773.19,58.14,-58.14,0.0,1.193078,0.028381,-0.028381,0.0,0.875104,0.021614,-0.021614,0.0,-0.2172,0.0593,-0.0593,0.0,[Fe/H],4.226014,0.02197,-0.02197,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h22m51.78s,230.7157509,+13d21m58.72s,13.3663117,47.874,0.2448,-0.2423,7.91433,0.023,-0.023,6.359,0.026,-0.026,7.74447,0.000361,-0.000361,2021-09-20,2021-07,2021-09-20,True,True
HD 137388 b,HD 137388,0,1,1,Radial Velocity,2011,La Silla Observatory,Published Confirmed,0,<a refstr=DUMUSQUE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...535A..55D/abstract target=ref> Dumusque et al. 2011 </a>,330.0,2.0,-4.0,0.0,0.89,0.02,-0.02,0.0,,,,,,,,,70.8731,9.21668,-9.21668,0.0,0.223,0.029,-0.029,0.0,Msini,0.36,0.12,-0.12,0.0,,,,,,,,,0.0,<a refstr=DUMUSQUE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...535A..55D/abstract target=ref> Dumusque et al. 2011 </a>,,5240.0,53.0,-53.0,0.0,0.82,,,0.0,0.86,,,0.0,0.18,0.03,-0.03,0.0,[Fe/H],4.42,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h35m39.62s,233.915082,-80d12m15.90s,-80.2044169,40.4841,0.054,-0.054,8.71,0.03,-0.03,6.763,0.023,-0.023,8.47996,0.000282,-0.000282,2018-04-25,2011-11,2014-05-14,True,True
HD 137496 c,HD 137496,1,1,2,Radial Velocity,2021,Multiple Observatories,Published Confirmed,0,<a refstr=AZEVEDO_SILVA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...657A..68A/abstract target=ref>Azevedo Silva et al. 2022</a>,479.9,1.1,-1.0,0.0,1.2163,0.0087,-0.0088,0.0,,,,,,,,,2434.56559762,34.96112477,-34.96112477,0.0,7.66,0.11,-0.11,0.0,Msini,0.477,0.004,-0.004,0.0,,,,,370.0,5.0,-5.0,0.0,0.0,<a refstr=AZEVEDO_SILVA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...657A..68A/abstract target=ref>Azevedo Silva et al. 2022</a>,G,5799.0,61.0,-61.0,0.0,1.59,0.03,-0.03,0.0,1.04,0.02,-0.02,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],4.05,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h26m58.09s,231.7420543,-16d30m32.41s,-16.5090014,155.317,1.739,-1.702,9.899,0.006,-0.006,8.244,0.036,-0.036,9.77168,0.000601,-0.000601,2021-11-18,2022-01,2021-11-18,True,True
HD 13808 b,HD 13808,1,1,2,Radial Velocity,2021,La Silla Observatory,Published Confirmed,0,<a refstr=AHRER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..407A/abstract target=ref>Ahrer et al. 2021</a>,14.1815,0.0015,-0.0015,0.0,0.10519,0.00093,-0.0011,0.0,,,,,,,,,11.2,1.2,-0.66,0.0,0.03523896,0.0037756,-0.00207658,0.0,Msini,0.071,0.027,-0.047,0.0,,,,,,,,,0.0,<a refstr=AHRER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..407A/abstract target=ref>Ahrer et al. 2021</a>,K2 V,5035.0,50.0,-50.0,0.0,0.781,0.017,-0.022,0.0,0.771,0.022,-0.022,0.0,-0.21,0.02,-0.02,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h12m42.74s,33.1780708,-53d44m37.53s,-53.7437591,28.2305,0.0257,-0.0258,8.36,0.03,-0.03,6.25,0.024,-0.024,8.11006,0.000272,-0.000272,2021-02-25,2021-02,2021-03-04,True,True
HD 13808 c,HD 13808,1,1,2,Radial Velocity,2021,La Silla Observatory,Published Confirmed,0,<a refstr=AHRER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..407A/abstract target=ref>Ahrer et al. 2021</a>,53.753,0.05,-0.082,0.0,0.2554,0.0028,-0.0023,0.0,,,,,,,,,9.96,1.8,-0.96,0.0,0.03133751,0.0056634,-0.00302048,0.0,Msini,0.156,0.05,-0.061,0.0,,,,,,,,,0.0,<a refstr=AHRER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..407A/abstract target=ref>Ahrer et al. 2021</a>,K2 V,5035.0,50.0,-50.0,0.0,0.781,0.017,-0.022,0.0,0.771,0.022,-0.022,0.0,-0.21,0.02,-0.02,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h12m42.74s,33.1780708,-53d44m37.53s,-53.7437591,28.2305,0.0257,-0.0258,8.36,0.03,-0.03,6.25,0.024,-0.024,8.11006,0.000272,-0.000272,2021-02-25,2021-02,2021-03-04,True,True
HD 13908 b,HD 13908,1,1,2,Radial Velocity,2013,Haute-Provence Observatory,Published Confirmed,0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..22M/abstract target=ref> Moutou et al. 2014 </a>,19.382,0.006,-0.006,0.0,0.154,0.0025,-0.0025,0.0,,,,,,,,,274.91,11.12,-11.12,0.0,0.865,0.035,-0.035,0.0,Msini,0.02,0.018,-0.018,0.0,,,,,,,,,0.0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..22M/abstract target=ref> Moutou et al. 2014 </a>,F8 V,6255.0,66.0,-66.0,0.0,1.67,0.1,-0.1,0.0,1.29,0.04,-0.04,0.0,0.01,0.04,-0.04,0.0,[Fe/H],4.11,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h18m14.62s,34.5609102,+65d35m39.08s,65.5941901,79.5515,0.2196,-0.2185,7.52,0.03,-0.03,6.21,0.021,-0.021,7.3845,0.000201,-0.000201,2014-05-14,2014-03,2014-05-14,True,True
HD 13908 c,HD 13908,1,1,2,Radial Velocity,2013,Haute-Provence Observatory,Published Confirmed,0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..22M/abstract target=ref> Moutou et al. 2014 </a>,931.0,17.0,-17.0,0.0,2.03,0.04,-0.04,0.0,,,,,,,,,1630.4,79.45,-79.45,0.0,5.13,0.25,-0.25,0.0,Msini,0.12,0.02,-0.02,0.0,,,,,,,,,0.0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..22M/abstract target=ref> Moutou et al. 2014 </a>,F8 V,6255.0,66.0,-66.0,0.0,1.67,0.1,-0.1,0.0,1.29,0.04,-0.04,0.0,0.01,0.04,-0.04,0.0,[Fe/H],4.11,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h18m14.62s,34.5609102,+65d35m39.08s,65.5941901,79.5515,0.2196,-0.2185,7.52,0.03,-0.03,6.21,0.021,-0.021,7.3845,0.000201,-0.000201,2014-05-14,2014-03,2014-05-14,True,True
HD 13931 b,HD 13931,0,1,1,Radial Velocity,2009,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,4449.0,54.0,-50.0,0.0,5.323,0.09,-0.091,0.0,,,,,,,,,607.37008578,24.47278734,-24.15495893,0.0,1.911,0.077,-0.076,0.0,Msini,0.02,0.021,-0.014,0.0,,,,,,,,,0.0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5805.45,96.62,-96.62,0.0,1.301756,0.030594,-0.030594,0.0,1.015973,0.046076,-0.046076,0.0,0.0406,0.0605,-0.0605,0.0,[Fe/H],4.214937,0.030425,-0.030425,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h16m47.52s,34.1979991,+43d46m19.94s,43.7722065,47.3963,0.1446,-0.1438,7.61,0.03,-0.03,6.139,0.029,-0.029,7.45464,0.000343,-0.000343,2021-09-20,2021-07,2021-09-20,True,True
